type_of_room,account_number,capacity_of_persons,ability_to_publish_information,district,community,city,street,building_number
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,26
Найпростіше укриття,null,37,так,Львівський,Львівська,Львів,Городоцька,219
Найпростіше укриття,null,20,так,Львівський,Львівська,Львів,Коновальця,8
Найпростіше укриття,null,160,так,Львівський,Львівська,Львів,Академіка Романа Кучера,13
Найпростіше укриття,null,200,так,Львівський,Львівська,Львів,Широка,73
Найпростіше укриття,null,150,так,Львівський,Львівська,Львів,Академіка Романа Кучера,15
Найпростіше укриття,null,40,так,Львівський,Львівська,Львів,Городоцька,213
Найпростіше укриття,null,20,так,Львівський,Львівська,Львів,Архипенка,22
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,28
Найпростіше укриття,null,70,так,Львівський,Львівська,Львів,Академіка Романа Кучера,16
Найпростіше укриття,null,15,так,Львівський,Львівська,Львів,Архипенка,24
Найпростіше укриття,null,42,так,Львівський,Львівська,Львів,Городоцька,209
Найпростіше укриття,null,80,так,Львівський,Львівська,Львів,Академіка Романа Кучера,18
Найпростіше укриття,null,136,так,Львівський,Львівська,Львів,Широка,72
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,30
Найпростіше укриття,null,35,так,Львівський,Львівська,Львів,Коновальця,85А
Найпростіше укриття,null,200,так,Львівський,Львівська,Львів,Академіка Романа Кучера,22
Найпростіше укриття,null,27,так,Львівський,Львівська,Львів,Архипенка,32
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,32
Найпростіше укриття,null,350,так,Львівський,Львівська,Львів,Базарна,50
Найпростіше укриття,null,32,так,Львівський,Львівська,Львів,Коновальця,85Б
Найпростіше укриття,null,87,так,Львівський,Львівська,Львів,Героїв УПА,76
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,36
Найпростіше укриття,null,720,так,Львівський,Львівська,Львів,Варшавська,64
Найпростіше укриття,null,380,так,Львівський,Львівська,Львів,Варшавська,62
Найпростіше укриття,null,21,так,Львівський,Львівська,Львів,Коновальця,95
Найпростіше укриття,null,453,так,Львівський,Львівська,Львів,Петлюри,24
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,38
Найпростіше укриття,null,600,так,Львівський,Львівська,Львів,Варшавська,66
Найпростіше укриття,null,40,так,Львівський,Львівська,Львів,Героїв УПА,45
Найпростіше укриття,null,200,так,Львівський,Львівська,Львів,Широка,71
Найпростіше укриття,null,14,так,Львівський,Львівська,Львів,Болгарська,1
Найпростіше укриття,null,28,так,Львівський,Львівська,Львів,Болгарська,3
Найпростіше укриття,null,340,так,Львівський,Львівська,Львів,Варшавська,68
Найпростіше укриття,null,43,так,Львівський,Львівська,Львів,Героїв УПА,30
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,40
Найпростіше укриття,null,49,так,Львівський,Львівська,Львів,Кульпарківська,1
Найпростіше укриття,null,25,так,Львівський,Львівська,Львів,Вишиваного,3
Найпростіше укриття,null,85,так,Львівський,Львівська,Львів,Героїв УПА,29
Найпростіше укриття,null,19,так,Львівський,Львівська,Львів,Вишиваного,4
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,42
Найпростіше укриття,null,1400,так,Львівський,Львівська,Львів,Петлюри,25
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,44
Найпростіше укриття,null,110,так,Львівський,Львівська,Львів,Широка,68
Найпростіше укриття,null,23,так,Львівський,Львівська,Львів,Вітовського,1
Найпростіше укриття,null,24,так,Львівський,Львівська,Львів,Вітовського,10
Найпростіше укриття,null,250,так,Львівський,Львівська,Львів,Широка,67
Найпростіше укриття,null,20,так,Львівський,Львівська,Львів,Вітовського,11А
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,48
Найпростіше укриття,null,23,так,Львівський,Львівська,Львів,Вітовського,14
Найпростіше укриття,null,600,так,Львівський,Львівська,Львів,Широка,66
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,48А
Найпростіше укриття,null,39,так,Львівський,Львівська,Львів,Кульпарківська,25
Найпростіше укриття,null,200,так,Львівський,Львівська,Львів,Ветеранів,3
Найпростіше укриття,null,29,так,Львівський,Львівська,Львів,Вітовського,16
Найпростіше укриття,null,41,так,Львівський,Львівська,Львів,Героїв УПА,22
Найпростіше укриття,null,85,так,Львівський,Львівська,Львів,Петлюри,27А
Найпростіше укриття,null,250,так,Львівський,Львівська,Львів,Широка,65
Найпростіше укриття,null,40,так,Львівський,Львівська,Львів,Ветеранів,6
Найпростіше укриття,null,16,так,Львівський,Львівська,Львів,Вітовського,20
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Гайдамацька,3
Найпростіше укриття,null,699,так,Львівський,Львівська,Львів,Широка,64
Найпростіше укриття,null,45,так,Львівський,Львівська,Львів,Гайдамацька,5
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Граб'янки,5
Найпростіше укриття,null,49,так,Львівський,Львівська,Львів,Героїв УПА,12
Найпростіше укриття,null,657,так,Львівський,Львівська,Львів,Петлюри,29
Найпростіше укриття,null,40,так,Львівський,Львівська,Львів,Гайдамацька,7
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Граб'янки,13
Найпростіше укриття,null,41,так,Львівський,Львівська,Львів,Героїв УПА,10
Найпростіше укриття,null,250,так,Львівський,Львівська,Львів,Широка,63
Найпростіше укриття,null,300,так,Львівський,Львівська,Львів,Генерала Грекова,8
Найпростіше укриття,null,24,так,Львівський,Львівська,Львів,Вітовського,22
Найпростіше укриття,null,44,так,Львівський,Львівська,Львів,Героїв УПА,8
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Керамічна,16
Найпростіше укриття,null,250,так,Львівський,Львівська,Львів,Джерельна,19
Найпростіше укриття,null,24,так,Львівський,Львівська,Львів,Вітовського,25
Найпростіше укриття,null,480,так,Львівський,Львівська,Львів,Широка,29
Найпростіше укриття,null,150,так,Львівський,Львівська,Львів,Джерельна,27
Найпростіше укриття,null,48,так,Львівський,Львівська,Львів,Івана Багряного,53
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Княгині Ольги,102
Найпростіше укриття,null,120,так,Львівський,Львівська,Львів,Джерельна,43
Найпростіше укриття,null,20,так,Львівський,Львівська,Львів,Вітовського,26
Найпростіше укриття,null,560,так,Львівський,Львівська,Львів,Широка,100
Найпростіше укриття,null,210,так,Львівський,Львівська,Львів,Джерельна,51
Найпростіше укриття,null,32,так,Львівський,Львівська,Львів,Японська,3
Найпростіше укриття,null,28,так,Львівський,Львівська,Львів,Кульпарківська,65
Найпростіше укриття,null,20,так,Львівський,Львівська,Львів,Вітовського,27
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Кобилиці,19
Найпростіше укриття,null,20,так,Львівський,Львівська,Львів,Японська,8
Найпростіше укриття,null,25,так,Львівський,Львівська,Львів,Вітовського,28
Найпростіше укриття,null,41,так,Львівський,Львівська,Львів,Липнева,6
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Кобилиці,27
Найпростіше укриття,null,19,так,Львівський,Львівська,Львів,Вітовського,30
Найпростіше укриття,null,32,так,Львівський,Львівська,Львів,Японська,5
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Кобилиці,29А
Найпростіше укриття,null,29,так,Львівський,Львівська,Львів,Мельника,7
Найпростіше укриття,null,34,так,Львівський,Львівська,Львів,Художня,4
Найпростіше укриття,null,16,так,Львівський,Львівська,Львів,Вітовського,35
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Молдавська,43
Найпростіше укриття,null,29,так,Львівський,Львівська,Львів,Художня,3
Найпростіше укриття,null,39,так,Львівський,Львівська,Львів,Мельника,6А
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Музики,34
Найпростіше укриття,null,42,так,Львівський,Львівська,Львів,Федьковича,38
Найпростіше укриття,null,70,так,Львівський,Львівська,Львів,Луки Долинського,2
Найпростіше укриття,null,22,так,Львівський,Львівська,Львів,Вітовського,37
Найпростіше укриття,null,38,так,Львівський,Львівська,Львів,Мельника,8А
Найпростіше укриття,null,370,так,Львівський,Львівська,Львів,Петлюри,2А
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Музики,36
Найпростіше укриття,null,30,так,Львівський,Львівська,Львів,Луки Долинського,4
Найпростіше укриття,null,193,так,Львівський,Львівська,Львів,Тараса Шевченка,9
Найпростіше укриття,null,80,так,Львівський,Львівська,Львів,Луки Долинського,8
Найпростіше укриття,null,14,так,Львівський,Львівська,Львів,Вітовського,39
Найпростіше укриття,null,220,так,Львівський,Львівська,Львів,Єрошенка,20А
Найпростіше укриття,null,28,так,Львівський,Львівська,Львів,Вітовського,41
Найпростіше укриття,null,27,так,Львівський,Львівська,Львів,Новий Світ,16
Найпростіше укриття,null,110,так,Львівський,Львівська,Львів,Тараса Шевченка,81
Найпростіше укриття,null,448,так,Львівський,Львівська,Львів,Петлюри,30
Найпростіше укриття,null,30,так,Львівський,Львівська,Львів,Замарстинівська,11
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,1
Найпростіше укриття,null,80,так,Львівський,Львівська,Львів,Замарстинівська,11А
Найпростіше укриття,null,20,так,Львівський,Львівська,Львів,Новий Світ,20
Найпростіше укриття,null,141,так,Львівський,Львівська,Львів,Тараса Шевченка,77
Найпростіше укриття,null,16,так,Львівський,Львівська,Львів,Вітовського,6
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,3
Найпростіше укриття,null,30,так,Львівський,Львівська,Львів,Замарстинівська,17
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,5
Найпростіше укриття,null,43,так,Львівський,Львівська,Львів,Вітовського,11
Найпростіше укриття,null,274,так,Львівський,Львівська,Львів,Петлюри,31
Найпростіше укриття,null,95,так,Львівський,Львівська,Львів,Тараса Шевченка,75Б
Найпростіше укриття,null,70,так,Львівський,Львівська,Львів,Замарстинівська,21
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,15
Найпростіше укриття,null,22,так,Львівський,Львівська,Львів,Новий Світ,22
Найпростіше укриття,null,80,так,Львівський,Львівська,Львів,Замарстинівська,23
Найпростіше укриття,null,19,так,Львівський,Львівська,Львів,Вітовського,15
Найпростіше укриття,null,133,так,Львівський,Львівська,Львів,Тараса Шевченка,67
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Замарстинівська,27
Найпростіше укриття,null,27,так,Львівський,Львівська,Львів,Вітовського,21
Найпростіше укриття,null,342,так,Львівський,Львівська,Львів,Петлюри,34
Найпростіше укриття,null,340,так,Львівський,Львівська,Львів,Ожешко,9
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,17
Найпростіше укриття,null,200,так,Львівський,Львівська,Львів,Золота,17
Найпростіше укриття,null,203,так,Львівський,Львівська,Львів,Тараса Шевченка,63/65
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,19
Найпростіше укриття,null,300,так,Львівський,Львівська,Львів,Золота,18
Найпростіше укриття,null,39,так,Львівський,Львівська,Львів,Окружна,38
Найпростіше укриття,null,210,так,Львівський,Львівська,Львів,Золота,20
Найпростіше укриття,null,410,так,Львівський,Львівська,Львів,Петлюри,34А
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,29
Найпростіше укриття,null,300,так,Львівський,Львівська,Львів,Золота,22
Найпростіше укриття,null,108,так,Львівський,Львівська,Львів,Тараса Шевченка,61
Найпростіше укриття,null,36,так,Львівський,Львівська,Львів,Федьковича,21
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,31
Найпростіше укриття,null,320,так,Львівський,Львівська,Львів,Золота,26
Найпростіше укриття,null,38,так,Львівський,Львівська,Львів,Окружна,42
Найпростіше укриття,null,220,так,Львівський,Львівська,Львів,Клепарівська,10
Найпростіше укриття,null,85,так,Львівський,Львівська,Львів,Федьковича,18
Найпростіше укриття,null,123,так,Львівський,Львівська,Львів,Тараса Шевченка,59
Найпростіше укриття,null,22,так,Львівський,Львівська,Львів,Вітовського,23
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,35
Найпростіше укриття,null,90,так,Львівський,Львівська,Львів,Клепарівська,12
Найпростіше укриття,null,37,так,Львівський,Львівська,Львів,Федьковича,13
Найпростіше укриття,null,186,так,Львівський,Львівська,Львів,Тараса Шевченка,55
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,37
Найпростіше укриття,null,170,так,Львівський,Львівська,Львів,Клепарівська,13
Найпростіше укриття,null,37,так,Львівський,Львівська,Львів,Уляни Кравченко,8
Найпростіше укриття,null,20,так,Львівський,Львівська,Львів,Вітовського,29
Найпростіше укриття,null,250,так,Львівський,Львівська,Львів,Клепарівська,14
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,39
Найпростіше укриття,null,42,так,Львівський,Львівська,Львів,Тобілевича,5
Найпростіше укриття,null,170,так,Львівський,Львівська,Львів,Клепарівська,24
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,51
Найпростіше укриття,null,24,так,Львівський,Львівська,Львів,Вітовського,3
Найпростіше укриття,null,170,так,Львівський,Львівська,Львів,Клепарівська,25
Найпростіше укриття,null,300,так,Львівський,Львівська,Львів,Петлюри,34Б
Найпростіше укриття,null,85,так,Львівський,Львівська,Львів,Тараса Шевченка,53
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,53
Найпростіше укриття,null,240,так,Львівський,Львівська,Львів,Клепарівська,8
Найпростіше укриття,null,31,так,Львівський,Львівська,Львів,Сулими,41
Найпростіше укриття,null,47,так,Львівський,Львівська,Львів,Окружна,44
Найпростіше укриття,null,10,так,Львівський,Львівська,Львів,Вітовського,5
Найпростіше укриття,null,210,так,Львівський,Львівська,Львів,Клепарівська,25А
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,53А
Найпростіше укриття,null,40,так,Львівський,Львівська,Львів,Сулими,39
Найпростіше укриття,null,320,так,Львівський,Львівська,Львів,Олександра Кошиця,1
Найпростіше укриття,null,24,так,Львівський,Львівська,Львів,Вітовського,5А
Найпростіше укриття,null,23,так,Львівський,Львівська,Львів,Опільського,2
Найпростіше укриття,null,100,так,Львівський,Львівська,Львів,Олександра Кошиця,4
Найпростіше укриття,null,154,так,Львівський,Львівська,Львів,Тараса Шевченка,45/47
Найпростіше укриття,null,28,так,Львівський,Львівська,Львів,Вітовського,7
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,57
Найпростіше укриття,null,15,так,Львівський,Львівська,Львів,Крехівська,10
Найпростіше укриття,null,22,так,Львівський,Львівська,Львів,Опільського,3
Найпростіше укриття,null,31,так,Львівський,Львівська,Львів,Вітовського,7А
Найпростіше укриття,null,45,так,Львівський,Львівська,Львів,Крехівська,11
Найпростіше укриття,null,300,так,Львівський,Львівська,Львів,Петлюри,34В
Найпростіше укриття,null,38,так,Львівський,Львівська,Львів,Вітовського,9А
Найпростіше укриття,null,170,так,Львівський,Львівська,Львів,Крехівська,5
Найпростіше укриття,null,467,так,Стрийський,Жидачівська,Млиниська,Івана Франка,36
Найпростіше укриття,null,170,так,Львівський,Львівська,Львів,Крехівська,6
Найпростіше укриття,null,80,так,Львівський,Львівська,Львів,Крехівська,7
Найпростіше укриття,null,19,так,Львівський,Львівська,Львів,Опільського,4
Найпростіше укриття,null,42,так,Львівський,Львівська,Львів,Тараса Шевченка,41А
Найпростіше укриття,null,34,так,Львівський,Львівська,Львів,Степана Бандери,57
Найпростіше укриття,null,24,так,Львівський,Львівська,Львів,Старицького,2
Найпростіше укриття,null,100,так,Львівський,Львівська,Львів,Тараса Шевченка,39
Найпростіше укриття,null,18,так,Львівський,Львівська,Львів,Волошина,4
Найпростіше укриття,null,82,так,Львівський,Львівська,Львів,Тараса Шевченка,37
Найпростіше укриття,null,35,так,Львівський,Львівська,Львів,Степана Бандери,69
Найпростіше укриття,null,31,так,Львівський,Львівська,Львів,Степана Бандери,51
Найпростіше укриття,null,97,так,Львівський,Львівська,Львів,Тараса Шевченка,13
Найпростіше укриття,null,21,так,Львівський,Львівська,Львів,Степана Бандери,43
Найпростіше укриття,null,27,так,Львівський,Львівська,Львів,Степана Бандери,37
Найпростіше укриття,null,128,так,Львівський,Львівська,Львів,Тараса Шевченка,113
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Веделя,1
Найпростіше укриття,null,24,так,Львівський,Львівська,Львів,Степана Бандери,35
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Веделя,2
Найпростіше укриття,null,172,так,Львівський,Львівська,Львів,Тараса Шевченка,11
Найпростіше укриття,null,22,так,Львівський,Львівська,Львів,Русових,8
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Веделя,3
Найпростіше укриття,null,30,так,Львівський,Львівська,Львів,Русових,3
Найпростіше укриття,null,98,так,Львівський,Львівська,Львів,Тараса Шевченка,109
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Веделя,4
Найпростіше укриття,null,30,так,Львівський,Львівська,Львів,Русових,1
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Веделя,5
Найпростіше укриття,null,300,так,Львівський,Бібрська,Бібрка,Уляни Кравченко,17
Найпростіше укриття,null,88,так,Львівський,Львівська,Львів,Шараневича,9А
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Веделя,6
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Наукова,2
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Наукова,4
Найпростіше укриття,null,163,так,Львівський,Львівська,Львів,Шараневича,8
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Наукова,4А
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Веделя,8
Найпростіше укриття,null,194,так,Львівський,Львівська,Львів,Шараневича,7А
Найпростіше укриття,null,34,так,Львівський,Пустомитівська,Пустомити,Фабрична,7
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Наукова,6
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Веделя,9
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Наукова,6А
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Наукова,8
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Веделя,10
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Наукова,10
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Наукова,10А
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Виноградна,5
Найпростіше укриття,null,90,так,Львівський,Львівська,Львів,Шараневича,5
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Наукова,12
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Симоненка,1
Найпростіше укриття,null,140,так,Львівський,Бібрська,Бібрка,Стуса,41
Найпростіше укриття,null,210,так,Львівський,Львівська,Львів,Шараневича,4
Найпростіше укриття,null,97,так,Львівський,Львівська,Львів,Шараневича,3
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Симоненка,3
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Симоненка,7
Найпростіше укриття,null,81,так,Львівський,Львівська,Львів,Шараневича,24
Найпростіше укриття,null,108,так,Львівський,Бібрська,Квітневе,Зелена,36
Найпростіше укриття,null,111,так,Львівський,Львівська,Львів,Шараневича,21
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Наукова,18
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Симоненка,9
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Наукова,20
Найпростіше укриття,null,90,так,Львівський,Львівська,Львів,Шараневича,2
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Симоненка,10
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Наукова,22
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Симоненка,11
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Наукова,24
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Симоненка,12
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Наукова,26
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Наукова,28
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Симоненка,18
Найпростіше укриття,null,20,так,Львівський,Пустомитівська,Пустомити,Грушевського,42
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Наукова,30
Найпростіше укриття,null,86,так,Львівський,Львівська,Львів,Шараневича,1а
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Симоненка,20
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Наукова,34
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Симоненка,22
Найпростіше укриття,null,55,так,Львівський,Бібрська,Соколівка,Шевченка,29
Найпростіше укриття,null,159,так,Львівський,Львівська,Львів,Шараневича,17
Найпростіше укриття,null,132,так,Львівський,Львівська,Львів,Шараневича,10
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пулюя,1
Найпростіше укриття,null,64,так,Львівський,Львівська,Львів,Шараневича,1
Найпростіше укриття,null,429,так,Львівський,Бібрська,Бібрка,Тарнавського,14А
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Рубчака,14
Найпростіше укриття,null,12,так,Львівський,Львівська,Львів,Колесси,7
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пулюя,2
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Рубчака,17А
Найпростіше укриття,null,157,так,Львівський,Львівська,Львів,Хотинська,9
Найпростіше укриття,null,12,так,Львівський,Львівська,Львів,Колесси,9
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Рубчака,6
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пулюя,3
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Рубчака,10
Найпростіше укриття,null,86,так,Львівський,Львівська,Львів,Хотинська,7
Найпростіше укриття,null,100,так,Львівський,Бібрська,Бібрка,Пекарська,25
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пулюя,4
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Рубчака,4
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Рубчака,2
Найпростіше укриття,null,22,так,Львівський,Львівська,Львів,Костюшка ,2
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Рубчака,7
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Рубчака,12
Найпростіше укриття,null,164,так,Львівський,Бібрська,Свірж,Перша,55
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пулюя,5
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,43
Найпростіше укриття,null,40,так,Львівський,Львівська,Львів,Володимира Великого,22А
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,9
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пулюя,11
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,41
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,22Б
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пулюя,19
Найпростіше укриття,null,731,так,Львівський,Пустомитівська,Пустомити,Грушевського,45
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,47А
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пулюя,21
Найпростіше укриття,null,247,так,Львівський,Бібрська,Романів,Зелена,54
Найпростіше укриття,null,162,так,Львівський,Львівська,Львів,Хотинська,2
Найпростіше укриття,null,11,так,Львівський,Львівська,Львів,Краківська,17
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,49А
Найпростіше укриття,null,44,так,Львівський,Пустомитівська,Пустомити,Грушевського,11
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,49
Найпростіше укриття,null,123,так,Львівський,Львівська,Львів,Хотинська,14
Найпростіше укриття,null,66,так,Львівський,Бібрська,Бібрка,Гальцька,144 В
Найпростіше укриття,null,40,так,Львівський,Львівська,Львів,Остроградських,4
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,35А
Найпростіше укриття,null,22,так,Львівський,Львівська,Львів,Куліша,40
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,47
Найпростіше укриття,null,89,так,Львівський,Львівська,Львів,Хотинська,12
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,33
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,41
Найпростіше укриття,null,100,так,Львівський,Бібрська,Лани,Шевченка,84
Найпростіше укриття,null,95,так,Львівський,Львівська,Львів,Хотинська,11
Найпростіше укриття,null,31,так,Львівський,Львівська,Львів,Краківська,9
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,63
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,65
Найпростіше укриття,null,113,так,Львівський,Львівська,Львів,Хотинська,10
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,67
Найпростіше укриття,null,55,так,Львівський,Львівська,Львів,Похила,3
Найпростіше укриття,null,13,так,Львівський,Львівська,Львів,Курбаса,10
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пулюя,23
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,69
Найпростіше укриття,null,150,так,Львівський,Львівська,Львів,Хотинська,1
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,71
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пулюя,25
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,73
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Пулюя,29
Найпростіше укриття,null,336,так,Львівський,Пустомитівська,Містки,Центральна,10
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,75
Найпростіше укриття,null,16,так,Львівський,Львівська,Львів,Курбаса,5
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,79
Найпростіше укриття,null,24,так,Львівський,Бібрська,Підгородище,Центральна ,19
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Володимира Великого,83
