type_of_room,account_number,capacity_of_persons,ability_to_publish_information,district,community,city,street,building_number
Найпростіше укриття,null,64,так,Львівський,Львівська,Львів,Чижевського,43
Найпростіше укриття,null,444,так,Львівський,Львівська,Львів,Караджича,13
Найпростіше укриття,null,17,так,Львівський,Львівська,Львів,Івана Вишенського,17
Найпростіше укриття,null,40,так,Львівський,Львівська,Львів,Антоновича,22
Найпростіше укриття,null,450,так,Львівський,Львівська,Львів,Широка,78
Найпростіше укриття,null,20,так,Львівський,Львівська,Львів,Івана Вишенського,19
Найпростіше укриття,null,492,так,Львівський,Львівська,Львів,Караджича,29Б
Найпростіше укриття,null,1255,так,Львівський,Львівська,Львів,Каховська,6
Найпростіше укриття,null,22,так,Львівський,Львівська,Львів,Івана Вишенського,23
Найпростіше укриття,null,1289,так,Львівський,Львівська,Львів,Каховська,8
Найпростіше укриття,null,40,так,Львівський,Львівська,Львів,Антоновича,29
Найпростіше укриття,null,37,так,Львівський,Львівська,Львів,Антоновича,30
Найпростіше укриття,null,1100,так,Львівський,Львівська,Львів,Антоновича,"31А, 31Б"
Найпростіше укриття,null,652,так,Львівський,Львівська,Рясне-Руське,Наукова,2
Найпростіше укриття,null,31,так,Львівський,Львівська,Львів,Івана Вишенського,31
Найпростіше укриття,null,84,так,Львівський,Львівська,Львів,Коротка,11А
Найпростіше укриття,null,35,так,Львівський,Львівська,Львів,Антоновича,38
Найпростіше укриття,null,902,так,Львівський,Львівська,Львів,Садова,15
Найпростіше укриття,null,131,так,Львівський,Львівська,Львів,Квітка Основ'яненка,20
Найпростіше укриття,null,285,так,Львівський,Львівська,Львів,Петлюри,43А
Найпростіше укриття,null,90,так,Львівський,Львівська,Львів,Коротка,3
Найпростіше укриття,null,467,так,Львівський,Львівська,Львів,Караджича,29В
Найпростіше укриття,null,37,так,Львівський,Львівська,Львів,Антоновича,58
Найпростіше укриття,null,134,так,Львівський,Львівська,Львів,"Квітка Основ""яненка",25
Найпростіше укриття,null,595,так,Львівський,Львівська,Львів,Любінська,89В
Найпростіше укриття,null,144,так,Львівський,Львівська,Львів,Коротка,8
Найпростіше укриття,null,39,так,Львівський,Львівська,Львів,Антоновича,72
Найпростіше укриття,null,106,так,Львівський,Львівська,Львів,Квітка Основ'яненка,27
Найпростіше укриття,null,848,так,Львівський,Львівська,Львів,Братів Дужих,12
Найпростіше укриття,null,49,так,Львівський,Львівська,Львів,Антоновича,115А
Найпростіше укриття,null,8,так,Львівський,Львівська,Львів,Миколи Голубця,2
Найпростіше укриття,null,295,так,Львівський,Львівська,Львів,Кричевського,65
Найпростіше укриття,null,128,так,Львівський,Львівська,Львів,Квітка Основ'яненка,28
Найпростіше укриття,null,780,так,Львівський,Львівська,Львів,Кричевського,67
Найпростіше укриття,null,82,так,Львівський,Львівська,Львів,Квітка Основ'яненка,31А
Найпростіше укриття,null,600,так,Львівський,Львівська,Львів,Караджича ,29
Найпростіше укриття,null,387,так,Львівський,Львівська,Львів,Караджича,29Г
Найпростіше укриття,null,41,так,Львівський,Львівська,Львів,Антоновича,115В
Найпростіше укриття,null,120,так,Львівський,Львівська,Львів,Квітка Основ'яненка,34
Найпростіше укриття,null,500,так,Львівський,Львівська,Львів,Любінська,93А
Найпростіше укриття,null,37,так,Львівський,Львівська,Львів,Антоновича,121
Найпростіше укриття,null,590,так,Львівський,Львівська,Львів,Хотинська,6
Найпростіше укриття,null,86,так,Львівський,Львівська,Львів,Квітка Основ'яненка,35
Найпростіше укриття,null,38,так,Львівський,Львівська,Львів,Антоновича,62
Найпростіше укриття,null,1441,так,Львівський,Львівська,Львів,Вигоди ,27
Найпростіше укриття,null,831,так,Львівський,Львівська,Львів,Олени Степанівни,13
Найпростіше укриття,null,518,так,Львівський,Львівська,Львів,Кульпарківська,128
Найпростіше укриття,null,503,так,Львівський,Львівська,Львів,Виговського,7А
Найпростіше укриття,null,48,так,Львівський,Львівська,Львів,Івана Багряного,38
Найпростіше укриття,null,747,так,Львівський,Львівська,Львів,Садова,9
Найпростіше укриття,null,800,так,Львівський,Львівська,Львів,Караджича ,7
