type_of_room,account_number,capacity_of_persons,ability_to_publish_information,district,community,city,street,building_number,latitude,longitude
Найпростіше укриття,,773,так,Львівський,Львівська,Львів,Сяйво,18,49.84485515,23.979795159728152
Найпростіше укриття,,50,так,Львівський,Львівська,Львів,Китайська,14,49.821742549999996,24.08154558164983
Найпростіше укриття,,558,так,Львівський,Львівська,Львів,Садова,25А,49.92678704858973,23.99668107864524
Найпростіше укриття,,480,так,Львівський,Львівська,Львів,Кульпарківська,130,49.81797385,23.985477241432704
Найпростіше укриття,,430,так,Львівський,Львівська,Львів,САДОВА,27,49.92678704858973,23.99668107864524
Найпростіше укриття,,801,так,Львівський,Львівська,Львів,Кульпарківська,130А,49.818254249999995,23.985641896554796
Найпростіше укриття,,581,так,Львівський,Львівська,Львів,Сяйво,99,49.8431302,23.978662132372037
Найпростіше укриття,,443,так,Львівський,Львівська,Львів,Кульпаківська,156,,
Найпростіше укриття,,570,так,Львівський,Львівська,Львів,Садова,27А,49.92678704858973,23.99668107864524
Найпростіше укриття,,1000,так,Львівський,Львівська,Львів,Садова,29,49.92678704858973,23.99668107864524
Найпростіше укриття,,1499,так,Львівський,Львівська,Львів,Роксоляни,35,49.846191359350414,23.96066587313661
Найпростіше укриття,,443,так,Львівський,Львівська,Львів,Кульпарківська,154,49.8163116,23.984382853942975
Найпростіше укриття,,23,так,Львівський,Львівська,Львів,Погулянка,20,49.82806275,24.056220489928627
Найпростіше укриття,,49,так,Львівський,Львівська,Львів,Івана Боберського,4,49.83391345,23.99136565
Найпростіше укриття,,878,так,Львівський,Львівська,Львів,Петра Полтави,32,49.82532265,23.9630413677704
Найпростіше укриття,,19,так,Львівський,Львівська,Львів,Погулянка,22,49.8277668,24.05681015
Найпростіше укриття,,402,так,Львівський,Львівська,Львів,Морозенка,5,49.841290900000004,24.0084033400417
Найпростіше укриття,,33,так,Львівський,Львівська,Львів,Погулянка,41,49.828656499999994,24.055526799999996
Найпростіше укриття,,49,так,Львівський,Львівська,Львів,Івана Боберського,19,49.8320925,23.993008068528162
Найпростіше укриття,,1035,так,Львівський,Львівська,Львів,Любінська,93Б,49.83099948312455,23.989480538233202
Найпростіше укриття,,280,так,Львівський,Львівська,Львів,Кульпаківська,142,,
